#,Couple name,Bunny 1,Bunny 2,Contributor,Sort ID,Versions
67,N-22-1 x C-19-1,N-22-1,C-19-1,Saint Yin,22213191,1.0.5 - current
68,N-22-1 x NW?-21-1,N-22-1,NW?-21-1,Dyspro,22216211,1.0.9
69,N-22-1 x NE?-20-1,N-22-1,NE?-20-1,SandCu225,22217201,1.0.5 - current
70,N-22-2 x C-19-1,N-22-2,C-19-1,Saint Yin,22223191,1.0.5 - current
71,N-22-2 x NW?-21-1,N-22-2,NW?-21-1,Dyspro,22226211,1.0.9
72,N-22-2 x NE?-20-1,N-22-2,NE?-20-1,SandCu225,22227201,1.0.5 - current
73,C-4-1 x S-5-1,C-4-1,S-5-1,LeungoftheJack,30414051,1.0.5 - current
74,C-17-1 x C-18-1,C-17-1,C-18-1,Puksu,31713181,1.0.5 - current
75,C-17-1 x C-19-1,C-17-1,C-19-1,Puksu,31713191,1.0.5 - current
76,C-19-1 x C-20-1,C-19-1,C-20-1,Saint Yin,31913201,1.0.5 - current
77,C-19-1 x C-21-1,C-19-1,C-21-1,Saint Yin,31913211,1.0.5 - current
78,C-19-1 x C-26-1,C-19-1,C-26-1,Saint Yin,31913261,1.0.5 - current
79,C-19-1 x C-27-1,C-19-1,C-27-1,Saint Yin,31913271,1.0.5 - current
80,C-19-1 x S-20-1,C-19-1,S-20-1,Saint Yin,31914201,1.0.5 - current
81,C-19-1 x S-21-1,C-19-1,S-21-1,Saint Yin,31914211,1.0.5 - current
82,C-19-1 x S-21-2,C-19-1,S-21-2,Saint Yin,31914212,1.0.5 - current
83,C-19-1 x S-22-1,C-19-1,S-22-1,Saint Yin,31914221,1.0.5 - current
84,C-19-1 x S-23-1,C-19-1,S-23-1,Saint Yin,31914231,1.0.5 - current
85,C-19-1 x E-20-1,C-19-1,E-20-1,Saint Yin,31915201,1.0.5 - current
86,C-19-1 x E-21-1,C-19-1,E-21-1,Saint Yin,31915211,1.0.5 - current
87,C-19-1 x E-22-1,C-19-1,E-22-1,Saint Yin,31915221,1.0.5 - current
88,C-19-1 x NW?-20-1,C-19-1,NW?-20-1,Saint Yin,31916201,1.0.5 - current
89,C-19-1 x NW?-21-1,C-19-1,NW?-21-1,Dyspro,31916211,1.0.9
90,C-19-1 x NW?-26-1,C-19-1,NW?-26-1,Dyspro,31916261,1.0.9
91,C-19-1 x NE?-20-1,C-19-1,NE?-20-1,Saint Yin,31917201,1.0.5 - current
92,C-19-1 x SW?-22-1,C-19-1,SW?-22-1,Saint Yin,31918221,1.0.5 - current
